Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attendance,playoffs,season,playoffs_
29.0,Orlando Magic,25.3,29.0,53.0,24,58,-6.57,-0.04,-6.61,-1.5620566995992895,0.7157594449969154,96.8,0.24600000000000002,0.3,0.524,0.489,12.1,21.6,0.184,0.523,11.9,77.4,0.201,Amway Center,727875.0,no playoffs,2017,no playoffs
30.0,Brooklyn Nets,26.0,20.0,62.0,24,58,-6.73,-0.01,-6.74,-1.4397744832165191,0.799018517398058,101.3,0.289,0.371,0.551,0.507,14.7,19.6,0.228,0.513,11.6,76.1,0.212,Barclays Center,632608.0,no playoffs,2017,no playoffs
,League Average,26.6,,,41,41,0.0,0.0,0.0,-0.002958440718935366,0.008057329587211741,96.4,0.271,0.316,0.552,0.514,12.7,23.3,0.209,0.514,12.7,76.7,0.209,,733247.0,no playoffs,2017,no playoffs
1.0,Golden State Warriors*,27.4,73.0,9.0,65,17,10.76,-0.38,10.38,2.5565122905060513,-0.9075552715366945,99.3,0.25,0.36200000000000004,0.593,0.563,13.5,23.5,0.191,0.479,12.6,76.0,0.20800000000000002,Oracle Arena,803436.0,Finals,2016,Finals
2.0,San Antonio Spurs*,30.3,67.0,15.0,67,15,10.63,-0.36,10.28,1.2319683182661492,-2.587209803932964,93.8,0.24600000000000002,0.223,0.564,0.526,12.4,23.0,0.19699999999999998,0.47700000000000004,14.1,79.1,0.182,AT&T Center,756445.0,Western Conference Semifinals,2016,Conference Semifinals
3.0,Oklahoma City Thunder*,25.8,55.0,27.0,59,23,7.28,-0.19,7.09,2.114997633092749,-0.2776848218880941,96.7,0.292,0.275,0.565,0.524,14.0,31.1,0.228,0.484,11.7,76.0,0.205,Chesapeake Energy Arena,746323.0,Western Conference Finals,2016,Conference Finals
4.0,Cleveland Cavaliers*,28.1,57.0,25.0,57,25,6.0,-0.55,5.45,1.421188885728995,-0.6626056522289041,93.3,0.259,0.35200000000000004,0.5579999999999999,0.524,12.7,25.1,0.19399999999999998,0.496,12.6,78.5,0.205,Quicken Loans Arena,843042.0,Finals,2016,Finals
5.0,Los Angeles Clippers*,29.7,53.0,29.0,53,29,4.28,-0.15,4.13,0.6012330933900057,-0.9075552715366945,95.8,0.318,0.324,0.556,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,STAPLES Center,786910.0,Western Conference First Round,2016,First Round
6.0,Toronto Raptors*,26.3,56.0,26.0,53,29,4.5,-0.42,4.08,1.1373580345347285,-0.41765603292111364,92.9,0.32799999999999996,0.287,0.552,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,Air Canada Centre,812863.0,Eastern Conference Finals,2016,Conference Finals
7.0,Atlanta Hawks*,28.2,48.0,34.0,51,31,3.61,-0.12,3.49,-0.40794326641182477,-1.7473825377348267,97.1,0.237,0.336,0.552,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.19399999999999998,Philips Arena,690150.0,Eastern Conference Semifinals,2016,Conference Semifinals
8.0,Boston Celtics*,25.2,48.0,34.0,50,32,3.21,-0.37,2.84,0.1281816747328981,-0.9775408770532067,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.20800000000000002,0.48700000000000004,14.6,74.6,0.231,TD Garden,749076.0,Eastern Conference First Round,2016,First Round
9.0,Charlotte Hornets*,26.0,48.0,34.0,49,33,2.72,-0.36,2.36,0.22279195846431873,-0.7325912577454163,95.7,0.28,0.348,0.545,0.502,11.7,20.0,0.222,0.496,12.5,79.8,0.191,Time Warner Cable Arena,716894.0,Eastern Conference First Round,2016,First Round
10.0,Utah Jazz,24.2,40.0,42.0,46,36,1.79,0.05,1.84,-0.15564917646136378,-0.8725624687784358,91.0,0.28600000000000003,0.297,0.54,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21,Vivint Smart Home Arena,791489.0,no playoffs,2016,no playoffs
11.0,Indiana Pacers*,26.9,45.0,37.0,46,36,1.71,-0.09,1.62,-0.5656270726308607,-1.2224904963609922,96.6,0.268,0.27,0.536,0.49700000000000005,13.5,23.4,0.205,0.489,14.3,76.0,0.205,Bankers Life Fieldhouse,690733.0,Eastern Conference First Round,2016,First Round
12.0,Miami Heat*,28.4,48.0,34.0,46,36,1.65,-0.14,1.5,-0.09257565397375302,-0.6975984549871577,93.6,0.282,0.221,0.545,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196,AmericanAirlines Arena,809350.0,Eastern Conference Semifinals,2016,Conference Semifinals
13.0,Portland Trail Blazers*,24.3,44.0,38.0,43,39,0.83,0.15,0.98,0.7589168996090416,0.562142444310043,96.0,0.268,0.332,0.5479999999999999,0.511,13.2,25.9,0.20199999999999999,0.503,12.1,76.2,0.225,Moda Center,794085.0,Western Conference Semifinals,2016,Conference Semifinals
14.0,Detroit Pistons*,25.0,44.0,38.0,43,39,0.61,-0.18,0.43,-0.09257565397375302,-0.31267762464634774,95.1,0.29600000000000004,0.303,0.522,0.491,12.2,27.0,0.19699999999999998,0.504,12.5,79.3,0.196,The Palace of Auburn Hills,677138.0,Eastern Conference First Round,2016,First Round
15.0,Houston Rockets*,27.8,41.0,41.0,42,40,0.2,0.14,0.34,0.6012330933900057,0.5971352470682966,97.6,0.35200000000000004,0.37,0.5529999999999999,0.516,14.2,25.7,0.244,0.516,14.7,72.8,0.21899999999999997,Toyota Center,737244.0,Western Conference First Round,2016,First Round
16.0,Dallas Mavericks*,30.3,42.0,40.0,40,42,-0.3,0.29,-0.02,0.09664491348909272,0.21221441672748667,94.3,0.265,0.33899999999999997,0.544,0.502,12.0,20.6,0.21100000000000002,0.504,12.8,76.2,0.198,American Airlines Center,825901.0,Western Conference First Round,2016,First Round
17.0,Washington Wizards,27.3,41.0,41.0,40,42,-0.5,0.0,-0.5,-0.3448697439242095,-0.20769921637158187,98.5,0.263,0.282,0.544,0.511,13.1,20.6,0.192,0.515,14.6,77.7,0.218,Verizon Center,725426.0,no playoffs,2016,no playoffs
18.0,Chicago Bulls,27.6,42.0,40.0,37,45,-1.48,0.01,-1.46,-0.43948002765563016,0.037250402936208536,95.7,0.24,0.244,0.526,0.48700000000000004,12.6,24.5,0.18899999999999997,0.485,10.7,74.9,0.182,United Center,894659.0,no playoffs,2016,no playoffs
19.0,Orlando Magic,23.9,35.0,47.0,36,46,-1.62,-0.06,-1.68,-0.40794326641182477,0.14222881121097444,96.0,0.23199999999999998,0.255,0.5329999999999999,0.5,12.8,23.1,0.175,0.513,13.8,76.5,0.215,Amway Center,719275.0,no playoffs,2016,no playoffs
20.0,Memphis Grizzlies*,30.5,42.0,40.0,35,47,-2.24,0.11,-2.14,-0.31333298268039966,0.4921568387935307,93.3,0.295,0.222,0.524,0.47700000000000004,12.3,25.3,0.231,0.518,15.2,75.1,0.251,FedEx Forum,701894.0,Western Conference First Round,2016,First Round
21.0,Sacramento Kings,26.6,33.0,49.0,34,48,-2.48,0.16,-2.32,-0.12411241521755839,0.7021136553430675,100.0,0.295,0.26,0.546,0.51,14.2,23.9,0.214,0.521,14.0,74.9,0.20199999999999999,Sleep Train Arena,707526.0,no playoffs,2016,no playoffs
22.0,New York Knicks,27.2,32.0,50.0,33,49,-2.73,0.0,-2.74,-0.5656270726308607,0.4221712332770185,93.4,0.255,0.256,0.527,0.483,12.6,23.7,0.205,0.48700000000000004,10.5,75.8,0.204,Madison Square Garden (IV),812292.0,no playoffs,2016,no playoffs
23.0,Denver Nuggets,24.7,33.0,49.0,33,49,-3.1,0.29,-2.81,-0.2502594601927889,0.8770776691343456,95.7,0.282,0.27699999999999997,0.531,0.489,13.2,25.8,0.21600000000000003,0.515,12.6,77.3,0.21600000000000003,Pepsi Center,577898.0,no playoffs,2016,no playoffs
24.0,Minnesota Timberwolves,24.6,29.0,53.0,31,51,-3.54,0.15,-3.38,0.03357139100147747,1.2969913022334092,95.2,0.332,0.20199999999999999,0.5489999999999999,0.498,13.9,24.3,0.263,0.524,13.6,74.7,0.2,Target Center,581178.0,no playoffs,2016,no playoffs
25.0,New Orleans Pelicans,26.6,30.0,52.0,31,51,-3.79,0.24,-3.56,-0.2502594601927889,1.0870344856838774,96.8,0.259,0.27699999999999997,0.537,0.498,12.3,21.2,0.201,0.523,12.7,78.8,0.225,Smoothie King Center,688549.0,no playoffs,2016,no playoffs
26.0,Milwaukee Bucks,23.5,33.0,49.0,29,53,-4.18,0.2,-3.98,-0.6602373563622812,0.8070920636178334,94.2,0.276,0.18899999999999997,0.537,0.499,14.2,24.9,0.207,0.51,14.2,73.1,0.221,BMO Harris Bradley Center,621808.0,no playoffs,2016,no playoffs
27.0,Phoenix Suns,26.0,23.0,59.0,24,58,-6.66,0.34,-6.32,-1.32250934248223,0.9120704718925993,98.5,0.271,0.302,0.526,0.48700000000000004,15.2,25.4,0.204,0.523,13.5,77.1,0.237,Talking Stick Resort Arena,701405.0,no playoffs,2016,no playoffs
28.0,Brooklyn Nets,26.9,21.0,61.0,22,60,-7.35,0.24,-7.12,-1.0071417300441583,1.5769337242994583,95.2,0.24600000000000002,0.218,0.527,0.49200000000000005,13.6,24.1,0.18600000000000003,0.534,13.1,75.7,0.17600000000000002,Barclays Center,620142.0,no playoffs,2016,no playoffs
29.0,Los Angeles Lakers,26.5,17.0,65.0,17,65,-9.56,0.64,-8.92,-1.5117299099450758,1.8218833436072437,95.6,0.292,0.29,0.509,0.46,12.5,23.1,0.228,0.523,11.6,74.7,0.20199999999999999,STAPLES Center,778877.0,no playoffs,2016,no playoffs
30.0,Philadelphia 76ers,23.3,10.0,72.0,16,66,-10.23,0.31,-9.92,-2.394759224771676,0.9820560774091115,97.9,0.26899999999999996,0.327,0.519,0.48700000000000004,14.8,20.6,0.18600000000000003,0.51,13.5,74.0,0.24,Wells Fargo Center,614650.0,no playoffs,2016,no playoffs
