away,away_asts,away_rebs,away_scores,home,home_asts,home_rebs,home_scores,i_home,i_away
brk,18.0,38.0,84.0,mia,21.0,42.0,88.0,2,21
dal,20.0,52.0,88.0,brk,24.0,51.0,96.0,21,25
bos,18.0,50.0,81.0,brk,22.0,41.0,89.0,21,3
phi,21.0,42.0,88.0,brk,22.0,38.0,90.0,21,19
brk,25.0,46.0,93.0,det,27.0,44.0,98.0,10,21
hou,18.0,41.0,99.0,brk,22.0,42.0,113.0,21,23
mem,19.0,36.0,92.0,brk,18.0,41.0,103.0,21,18
brk,18.0,39.0,102.0,was,23.0,37.0,80.0,22,21
was,17.0,40.0,90.0,brk,23.0,49.0,99.0,21,22
brk,22.0,43.0,103.0,sac,22.0,42.0,100.0,7,21
brk,17.0,40.0,84.0,lac,41.0,48.0,123.0,12,21
brk,17.0,29.0,73.0,uta,23.0,43.0,108.0,8,21
brk,26.0,35.0,102.0,atl,29.0,45.0,113.0,5,21
tor,19.0,50.0,122.0,brk,22.0,45.0,127.0,21,0
lac,21.0,45.0,102.0,brk,23.0,52.0,100.0,21,12
brk,24.0,39.0,109.0,tor,22.0,38.0,93.0,0,21
nyk,23.0,47.0,92.0,brk,23.0,40.0,88.0,21,9
brk,17.0,38.0,77.0,was,31.0,51.0,114.0,22,21
brk,25.0,38.0,97.0,mil,25.0,44.0,103.0,17,21
brk,14.0,46.0,86.0,mem,24.0,45.0,95.0,18,21
brk,29.0,46.0,114.0,lal,22.0,46.0,105.0,6,21
brk,21.0,57.0,110.0,den,18.0,49.0,82.0,13,21
brk,13.0,37.0,96.0,nop,26.0,43.0,102.0,24,21
brk,17.0,44.0,98.0,hou,26.0,41.0,102.0,23,21
brk,20.0,48.0,104.0,dal,23.0,37.0,94.0,25,21
gsw,20.0,38.0,110.0,brk,26.0,50.0,108.0,21,15
cho,15.0,38.0,91.0,brk,24.0,49.0,115.0,21,26
pho,21.0,57.0,100.0,brk,19.0,51.0,108.0,21,16
uta,21.0,30.0,88.0,brk,24.0,43.0,95.0,21,8
nop,19.0,41.0,91.0,brk,31.0,41.0,111.0,21,24
brk,15.0,44.0,98.0,mia,23.0,39.0,104.0,2,21
brk,20.0,45.0,94.0,phi,21.0,48.0,87.0,19,21
brk,21.0,43.0,122.0,min,27.0,36.0,106.0,29,21
brk,23.0,32.0,92.0,cle,32.0,43.0,117.0,4,21
mil,31.0,53.0,129.0,brk,23.0,81.0,127.0,21,17
brk,21.0,35.0,123.0,ind,22.0,39.0,111.0,20,21
bos,15.0,48.0,91.0,brk,25.0,47.0,110.0,21,3
brk,28.0,46.0,91.0,cho,23.0,51.0,88.0,26,21
cle,21.0,46.0,106.0,brk,17.0,40.0,98.0,21,4
lal,29.0,43.0,107.0,brk,25.0,43.0,99.0,21,6
ind,25.0,41.0,111.0,brk,23.0,37.0,106.0,21,20
brk,24.0,37.0,100.0,nyk,20.0,40.0,98.0,9,21
tor,21.0,41.0,114.0,brk,24.0,40.0,109.0,21,0
brk,22.0,39.0,99.0,atl,40.0,34.0,131.0,5,21
por,25.0,46.0,106.0,brk,17.0,50.0,96.0,21,14
atl,27.0,47.0,111.0,brk,35.0,40.0,114.0,21,5
was,29.0,44.0,117.0,brk,23.0,50.0,80.0,21,22
brk,17.0,49.0,73.0,mil,30.0,47.0,96.0,17,21
chi,12.0,42.0,86.0,brk,26.0,46.0,113.0,21,11
orl,25.0,40.0,101.0,brk,18.0,42.0,88.0,21,1
phi,17.0,42.0,91.0,ind,22.0,50.0,103.0,20,19
phi,20.0,42.0,81.0,mil,25.0,55.0,93.0,17,19
mia,28.0,37.0,96.0,phi,33.0,35.0,114.0,19,2
hou,19.0,31.0,93.0,phi,27.0,47.0,104.0,19,23
orl,22.0,38.0,89.0,phi,14.0,51.0,91.0,19,1
chi,29.0,42.0,115.0,phi,25.0,40.0,118.0,19,11
phi,19.0,31.0,88.0,tor,23.0,39.0,120.0,0,19
phi,9.0,46.0,70.0,dal,33.0,51.0,123.0,25,19
phi,19.0,46.0,87.0,hou,16.0,47.0,88.0,23,19
phi,15.0,39.0,75.0,sas,27.0,52.0,100.0,28,19
bos,22.0,44.0,90.0,phi,32.0,44.0,101.0,19,3
pho,18.0,39.0,96.0,phi,24.0,46.0,122.0,19,16
phi,13.0,36.0,83.0,nyk,15.0,40.0,91.0,9,19
por,28.0,29.0,104.0,phi,30.0,52.0,114.0,19,14
brk,23.0,42.0,91.0,phi,25.0,40.0,99.0,19,21
dal,26.0,55.0,103.0,phi,28.0,40.0,110.0,19,25
sas,22.0,42.0,103.0,phi,25.0,52.0,109.0,19,28
phi,15.0,49.0,85.0,min,17.0,50.0,77.0,29,19
